City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,klaksvik,62.2266,-6.589,275.66,69,86,19.74,FO,1675914341
85,port blair,11.6667,92.75,301.17,69,40,5.14,IN,1675914225
86,saint george,37.1041,-113.5841,283.68,49,0,2.06,US,1675914256
87,vasto,42.1243,14.7059,274.51,89,99,2.83,IT,1675914342
88,esperance,-33.8667,121.9,294.17,64,29,5.89,AU,1675914307
89,mayumba,-3.432,10.6554,298.6,89,75,3.43,GA,1675914342
90,tessalit,20.1986,1.0114,291.64,21,1,4.61,ML,1675914343
91,sisimiut,66.9395,-53.6735,256.76,80,100,3.2,GL,1675914328
92,karasburg,-28.0167,18.75,293.49,51,2,2.33,NA,1675914343
93,aracoiaba,-4.3711,-38.8142,295.78,87,100,0.8,BR,1675914344
94,nerchinsk,51.9833,116.5833,256.12,87,17,0.86,RU,1675914344
95,payo,-3.7508,103.6372,303.52,50,99,1.68,ID,1675914345
96,alyangula,-13.8483,136.4192,303.41,66,100,1.59,AU,1675914345
97,damietta,31.4165,31.8133,281.09,56,14,3.94,EG,1675914180
98,new norfolk,-42.7826,147.0587,295.32,40,98,0.89,AU,1675914346
99,gushikawa,26.3544,127.8686,294.92,69,75,7.72,JP,1675914346
100,arraial do cabo,-22.9661,-42.0278,297.07,88,75,1.54,BR,1675914347
101,dalen,52.6992,6.7556,273.74,77,96,3.58,NL,1675914347
102,litovko,49.2361,135.1742,253.23,81,57,0.77,RU,1675914348
103,vezirkopru,41.1436,35.4547,269.42,89,95,0.67,TR,1675914348
104,kaitangata,-46.2817,169.8464,287.21,53,83,4.58,NZ,1675914348
105,lensk,60.7253,114.9278,250.21,95,98,1.63,RU,1675914349
106,piranshahr,36.701,45.1413,268.89,95,100,1.36,IR,1675914349
107,talnakh,69.4865,88.3972,253.82,95,100,4.08,RU,1675914262
108,yar-sale,66.8333,70.8333,260.23,96,94,4.72,RU,1675914350
109,port alfred,-33.5906,26.891,292.69,98,100,1.63,ZA,1675914351
110,college,64.8569,-147.8028,258.47,84,75,0.0,US,1675914351
111,lebu,-37.6167,-73.65,287.9,95,5,4.59,CL,1675914351
112,taiyuan,37.8694,112.5603,272.07,93,20,3.0,CN,1675914352
113,kirensk,57.7853,108.1119,265.07,92,100,3.15,RU,1675914352
114,rio gallegos,-51.6226,-69.2181,287.18,47,40,4.12,AR,1675914352
115,beringovskiy,63.05,179.3167,241.69,93,22,2.37,RU,1675914353
116,sinegorye,62.0788,150.477,239.49,97,50,0.56,RU,1675914354
117,half moon bay,37.4636,-122.4286,287.21,77,40,4.63,US,1675914105
118,kyzyl-suu,42.3414,78.0056,272.63,65,100,1.96,KG,1675914354
119,fujin,47.26,132.0322,259.85,77,1,3.3,CN,1675914355
120,strelka,58.0728,93.0344,258.82,93,99,1.88,RU,1675914355
121,cascais,38.6979,-9.4215,284.54,86,19,6.71,PT,1675914356
122,port hedland,-20.3167,118.5667,308.18,55,0,6.17,AU,1675914356
123,richards bay,-28.783,32.0377,295.33,89,100,4.59,ZA,1675914357
124,jumla,29.2747,82.1838,283.42,27,29,1.34,NP,1675914357
125,kupang,-10.1667,123.5833,302.47,84,75,6.17,ID,1675914358
126,rocha,-34.4833,-54.3333,294.06,81,20,3.47,UY,1675914352
127,langenthal,47.2153,7.7961,270.22,93,4,1.51,CH,1675914359
128,dillon,34.4166,-79.3712,287.73,71,98,2.5,US,1675914359
129,trapani,37.8333,12.6667,280.53,93,40,1.03,IT,1675914359
130,hopelchen,19.7667,-89.85,297.25,71,4,2.93,MX,1675914360
131,cayenne,4.9333,-52.3333,298.17,94,75,2.06,GF,1675914360
132,lorengau,-2.0226,147.2712,301.87,67,100,4.53,PG,1675914361
133,gizo,-8.103,156.8419,302.25,73,98,4.86,SB,1675914362
134,vaitape,-16.5167,-151.75,300.5,71,10,3.11,PF,1675914363
135,antalaha,-14.9003,50.2788,297.42,87,57,2.28,MG,1675914363
136,burns lake,54.2331,-125.7533,271.83,97,100,1.77,CA,1675914364
137,cidreira,-30.1811,-50.2056,297.64,83,24,8.46,BR,1675914364
138,saint-augustin,51.226,-58.6502,262.72,78,99,9.23,CA,1675914365
139,cockburn town,21.4612,-71.1419,297.94,77,9,11.12,TC,1675914213
140,lasa,46.6166,10.7002,267.24,70,32,0.8,IT,1675914366
141,hermanus,-34.4187,19.2345,293.04,83,76,5.1,ZA,1675914366
142,caxito,-8.5785,13.6643,295.19,89,53,1.37,AO,1675914367
143,carballo,43.213,-8.691,279.74,93,0,1.81,ES,1675914219
144,chapais,49.7834,-74.8492,253.03,100,68,0.84,CA,1675914368
145,katsuura,35.1333,140.3,281.91,38,79,4.33,JP,1675914368
146,anstruther,56.2231,-2.7023,277.29,81,5,6.17,GB,1675914369
147,tevaitoa,-16.7833,-151.5,300.21,73,16,3.14,PF,1675914369
148,vardo,70.3705,31.1107,275.14,75,99,19.55,NO,1675914370
149,thompson,55.7435,-97.8558,260.24,72,100,5.66,CA,1675914310
150,salalah,17.0151,54.0924,292.2,63,0,1.03,OM,1675914371
151,soverato,38.685,16.5499,279.12,84,100,9.86,IT,1675914371
152,bambous virieux,-20.3428,57.7575,300.49,83,75,5.14,MU,1675914372
153,nakhon phanom,17.3333,104.4167,302.04,39,2,2.95,TH,1675914372
154,waipawa,-41.4122,175.5153,286.63,80,96,4.45,NZ,1675914373
155,kralendijk,12.15,-68.2667,299.14,78,40,6.17,BQ,1675914374
156,sokolo,14.7328,-6.1219,296.61,16,0,5.88,ML,1675914374
157,avarua,-21.2078,-159.775,301.18,74,40,5.66,CK,1675914375
158,halifax,44.6453,-63.5724,275.08,69,85,5.36,CA,1675914261
159,calabozo,8.9242,-67.4293,300.33,57,75,3.97,VE,1675914376
160,puerto ayora,-0.7393,-90.3518,299.57,92,75,2.68,EC,1675914199
161,maniitsoq,65.4167,-52.9,268.07,94,100,5.39,GL,1675914377
162,pitimbu,-7.4706,-34.8086,298.48,82,75,3.53,BR,1675914377
163,luoyang,34.6836,112.4536,276.23,83,100,1.51,CN,1675914378
164,ponezhukay,44.8876,39.3855,263.62,92,76,5.32,RU,1675914379
165,kot kapura,30.5833,74.9,291.31,33,100,1.5,IN,1675914379
166,saint-philippe,-21.3585,55.7679,299.92,82,67,5.18,RE,1675914380
167,wapakoneta,40.5678,-84.1936,277.75,91,100,3.6,US,1675914194
168,ko samui,9.5357,99.9357,302.1,74,20,6.17,TH,1675914381
169,tiksi,71.6872,128.8694,233.78,98,59,2.35,RU,1675914382
170,pimentel,-6.8367,-79.9342,298.31,73,0,5.14,PE,1675914384
171,khatanga,71.9667,102.5,230.47,99,64,1.71,RU,1675914386
172,north bend,43.4065,-124.2243,281.44,100,0,0.0,US,1675914388
173,suez,29.9737,32.5263,280.74,65,5,1.34,EG,1675914389
174,pisco,-13.7,-76.2167,295.18,88,0,5.66,PE,1675914390
175,limbang,4.75,115.0,303.21,56,33,1.61,MY,1675914391
